TIME, TIME ELAPSED (s), CONTAINER ID, NAME, CPU %, MEM USAGE / LIMIT, MEM %, NET I/O, BLOCK I/O, PIDS
23:35:51,1.524587,c853df77a32c,kimera_container,101.58%,832MiB / 15.47GiB,5.25%,0B / 0B,1.92GB / 399MB,60
23:35:54,4.220621,c853df77a32c,kimera_container,147.12%,944.8MiB / 15.47GiB,5.97%,0B / 0B,1.92GB / 399MB,60
23:35:57,6.870912,c853df77a32c,kimera_container,331.97%,980.9MiB / 15.47GiB,6.19%,0B / 0B,1.92GB / 399MB,60
23:35:59,9.530972,c853df77a32c,kimera_container,394.61%,1.039GiB / 15.47GiB,6.72%,0B / 0B,1.92GB / 400MB,60
23:36:02,12.184698,c853df77a32c,kimera_container,403.77%,1.071GiB / 15.47GiB,6.93%,0B / 0B,1.92GB / 400MB,60
23:36:05,14.836342,c853df77a32c,kimera_container,434.43%,1.105GiB / 15.47GiB,7.14%,0B / 0B,1.92GB / 400MB,62
23:36:07,17.487646,c853df77a32c,kimera_container,410.99%,1.123GiB / 15.47GiB,7.26%,0B / 0B,1.92GB / 401MB,62
23:36:10,20.146854,c853df77a32c,kimera_container,420.97%,1.146GiB / 15.47GiB,7.41%,0B / 0B,1.92GB / 401MB,62
23:36:13,22.793548,c853df77a32c,kimera_container,364.61%,1.148GiB / 15.47GiB,7.42%,0B / 0B,1.92GB / 402MB,62
23:36:15,25.441543,c853df77a32c,kimera_container,414.12%,1.157GiB / 15.47GiB,7.48%,0B / 0B,1.92GB / 402MB,62
23:36:18,28.093574,c853df77a32c,kimera_container,379.71%,1.173GiB / 15.47GiB,7.59%,0B / 0B,1.92GB / 403MB,62
23:36:21,30.747771,c853df77a32c,kimera_container,231.04%,1.186GiB / 15.47GiB,7.67%,0B / 0B,1.92GB / 404MB,62
23:36:23,33.397635,c853df77a32c,kimera_container,419.51%,1.204GiB / 15.47GiB,7.79%,0B / 0B,1.92GB / 405MB,62
23:36:26,36.049612,c853df77a32c,kimera_container,433.83%,1.219GiB / 15.47GiB,7.88%,0B / 0B,1.92GB / 406MB,62
23:36:29,38.69847,c853df77a32c,kimera_container,413.05%,1.247GiB / 15.47GiB,8.07%,0B / 0B,1.92GB / 407MB,62
23:36:31,41.355444,c853df77a32c,kimera_container,383.96%,1.263GiB / 15.47GiB,8.16%,0B / 0B,1.92GB / 408MB,62
23:36:34,44.005178,c853df77a32c,kimera_container,477.20%,1.291GiB / 15.47GiB,8.35%,0B / 0B,1.92GB / 409MB,62
23:36:37,46.655274,c853df77a32c,kimera_container,432.36%,1.313GiB / 15.47GiB,8.49%,0B / 0B,1.92GB / 411MB,62
23:36:39,49.31347,c853df77a32c,kimera_container,473.39%,1.33GiB / 15.47GiB,8.60%,0B / 0B,1.92GB / 412MB,62
23:36:42,51.970435,c853df77a32c,kimera_container,390.33%,1.342GiB / 15.47GiB,8.68%,0B / 0B,1.92GB / 414MB,62
23:36:45,54.637549,c853df77a32c,kimera_container,368.64%,1.355GiB / 15.47GiB,8.76%,0B / 0B,1.92GB / 415MB,62
23:36:47,57.297453,c853df77a32c,kimera_container,404.91%,1.368GiB / 15.47GiB,8.85%,0B / 0B,1.92GB / 417MB,62
23:36:50,59.94961,c853df77a32c,kimera_container,455.17%,1.378GiB / 15.47GiB,8.91%,0B / 0B,1.92GB / 419MB,62
23:36:53,62.600956,c853df77a32c,kimera_container,458.47%,1.39GiB / 15.47GiB,8.99%,0B / 0B,1.92GB / 421MB,62
23:36:55,65.253275,c853df77a32c,kimera_container,373.41%,1.399GiB / 15.47GiB,9.05%,0B / 0B,1.92GB / 423MB,62
23:36:58,67.904808,c853df77a32c,kimera_container,423.67%,1.457GiB / 15.47GiB,9.42%,0B / 0B,1.92GB / 425MB,62
23:37:00,70.5554,c853df77a32c,kimera_container,351.84%,1.471GiB / 15.47GiB,9.51%,0B / 0B,1.92GB / 427MB,62
23:37:03,73.209915,c853df77a32c,kimera_container,423.96%,1.469GiB / 15.47GiB,9.50%,0B / 0B,1.92GB / 429MB,62
23:37:06,75.859872,c853df77a32c,kimera_container,428.27%,1.466GiB / 15.47GiB,9.48%,0B / 0B,1.92GB / 431MB,62
23:37:08,78.508968,c853df77a32c,kimera_container,315.74%,1.464GiB / 15.47GiB,9.47%,0B / 0B,1.92GB / 434MB,62
23:37:11,81.167149,c853df77a32c,kimera_container,486.02%,1.47GiB / 15.47GiB,9.51%,0B / 0B,1.92GB / 435MB,62
23:37:14,83.820595,c853df77a32c,kimera_container,377.37%,1.479GiB / 15.47GiB,9.56%,0B / 0B,1.92GB / 438MB,62
23:37:16,86.471901,c853df77a32c,kimera_container,437.02%,1.486GiB / 15.47GiB,9.61%,0B / 0B,1.92GB / 440MB,62
23:37:19,89.12068,c853df77a32c,kimera_container,435.48%,1.498GiB / 15.47GiB,9.69%,0B / 0B,1.92GB / 442MB,62
23:37:22,91.775728,c853df77a32c,kimera_container,477.33%,1.512GiB / 15.47GiB,9.78%,0B / 0B,1.92GB / 444MB,62
23:37:24,94.429034,c853df77a32c,kimera_container,400.89%,1.522GiB / 15.47GiB,9.84%,0B / 0B,1.92GB / 446MB,62
23:37:27,97.091458,c853df77a32c,kimera_container,580.95%,1.544GiB / 15.47GiB,9.98%,0B / 0B,1.92GB / 448MB,62
23:37:30,99.753069,c853df77a32c,kimera_container,481.34%,1.563GiB / 15.47GiB,10.11%,0B / 0B,1.92GB / 450MB,62
23:37:32,102.41712,c853df77a32c,kimera_container,421.34%,1.602GiB / 15.47GiB,10.36%,0B / 0B,1.92GB / 452MB,62
23:37:35,105.068469,c853df77a32c,kimera_container,531.29%,1.631GiB / 15.47GiB,10.54%,0B / 0B,1.92GB / 454MB,62
23:37:38,107.727189,c853df77a32c,kimera_container,426.94%,1.629GiB / 15.47GiB,10.53%,0B / 0B,1.92GB / 456MB,62
23:37:40,110.37623,c853df77a32c,kimera_container,325.30%,1.63GiB / 15.47GiB,10.54%,0B / 0B,1.92GB / 458MB,62
23:37:43,113.028765,c853df77a32c,kimera_container,509.14%,1.64GiB / 15.47GiB,10.61%,0B / 0B,1.92GB / 460MB,62
23:37:46,115.690897,c853df77a32c,kimera_container,408.32%,1.64GiB / 15.47GiB,10.60%,0B / 0B,1.92GB / 462MB,62
23:37:48,118.349534,c853df77a32c,kimera_container,326.36%,1.642GiB / 15.47GiB,10.62%,0B / 0B,1.92GB / 465MB,62
23:37:51,121.005893,c853df77a32c,kimera_container,502.48%,1.644GiB / 15.47GiB,10.63%,0B / 0B,1.92GB / 467MB,62
23:37:54,123.655797,c853df77a32c,kimera_container,575.58%,1.668GiB / 15.47GiB,10.78%,0B / 0B,1.92GB / 468MB,62
23:37:56,126.319139,c853df77a32c,kimera_container,619.80%,1.691GiB / 15.47GiB,10.93%,0B / 0B,1.92GB / 471MB,62
23:37:59,128.987691,c853df77a32c,kimera_container,417.52%,1.706GiB / 15.47GiB,11.03%,0B / 0B,1.92GB / 473MB,62
23:38:02,131.646838,c853df77a32c,kimera_container,318.74%,1.734GiB / 15.47GiB,11.21%,0B / 0B,1.94GB / 475MB,65
