TIME, TIME ELAPSED (s), CONTAINER ID, NAME, CPU %, MEM USAGE / LIMIT, MEM %, NET I/O, BLOCK I/O, PIDS
00:49:29,1.520227,c853df77a32c,kimera_container,110.12%,209MiB / 15.47GiB,1.32%,0B / 0B,2.05GB / 503MB,38
00:49:32,4.172991,c853df77a32c,kimera_container,140.43%,255.8MiB / 15.47GiB,1.62%,0B / 0B,2.05GB / 503MB,59
00:49:34,6.872821,c853df77a32c,kimera_container,173.02%,377.9MiB / 15.47GiB,2.39%,0B / 0B,2.05GB / 503MB,59
00:49:37,9.521086,c853df77a32c,kimera_container,202.19%,403.6MiB / 15.47GiB,2.55%,0B / 0B,2.05GB / 503MB,59
00:49:40,12.167426,c853df77a32c,kimera_container,223.94%,436.9MiB / 15.47GiB,2.76%,0B / 0B,2.05GB / 503MB,59
00:49:42,14.826341,c853df77a32c,kimera_container,208.90%,446.4MiB / 15.47GiB,2.82%,0B / 0B,2.05GB / 503MB,59
00:49:45,17.474361,c853df77a32c,kimera_container,205.66%,444.8MiB / 15.47GiB,2.81%,0B / 0B,2.05GB / 503MB,59
00:49:47,20.137677,c853df77a32c,kimera_container,190.87%,447.9MiB / 15.47GiB,2.83%,0B / 0B,2.05GB / 503MB,59
00:49:50,22.791763,c853df77a32c,kimera_container,196.59%,449.7MiB / 15.47GiB,2.84%,0B / 0B,2.05GB / 503MB,59
00:49:53,25.438849,c853df77a32c,kimera_container,206.33%,450.3MiB / 15.47GiB,2.84%,0B / 0B,2.05GB / 503MB,59
00:49:55,28.089417,c853df77a32c,kimera_container,205.23%,455MiB / 15.47GiB,2.87%,0B / 0B,2.05GB / 503MB,59
00:49:58,30.738207,c853df77a32c,kimera_container,212.71%,460.1MiB / 15.47GiB,2.91%,0B / 0B,2.05GB / 503MB,59
00:50:01,33.387548,c853df77a32c,kimera_container,217.98%,463.6MiB / 15.47GiB,2.93%,0B / 0B,2.05GB / 503MB,59
00:50:03,36.033599,c853df77a32c,kimera_container,224.40%,464.7MiB / 15.47GiB,2.93%,0B / 0B,2.05GB / 503MB,59
00:50:06,38.686073,c853df77a32c,kimera_container,240.82%,463MiB / 15.47GiB,2.92%,0B / 0B,2.05GB / 503MB,59
